Company,Reporting Standard,Scope Category,Reporting Period,Supplier Name,Supplier Country,Supplier Region,Transport Mode,Shipment Count,Total Weight (kg),Total Distance (km),Total Units Shipped,Emission Factor (kg CO2e/t/km),Total Carbon (kg CO2e),Total Carbon (tonnes CO2e),Carbon per Unit (kg CO2e),DEFRA Source,Report Generated,Methodology
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,2178.95,7700.0,2184,0.1,239.68,0.2397,0.106119,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,1432.15,11200.0,2286,0.1,200.5,0.2005,0.085749,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2696.51,1500.0,2166,0.1,67.41,0.0674,0.03315,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,2258.7,750.0,1216,0.1,56.47,0.0565,0.051225,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,171.54,58500.0,588,0.016,53.52,0.0535,0.091208,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-11,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,147.22,33000.0,240,0.016,25.91,0.0259,0.114285,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,MedTrade SRL,Italy,EUROPEAN,ROAD,9,4781.48,16200.0,3216,0.1,860.67,0.8607,0.2513,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,USBrands Inc,United States,INTERCONTINENTAL,AIR,1,161.2,5500.0,200,0.602,533.73,0.5337,2.668666,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,3312.25,11200.0,2880,0.1,463.72,0.4637,0.130428,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,3055.17,6600.0,2262,0.1,336.07,0.3361,0.134567,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,471.56,58500.0,912,0.016,147.13,0.1471,0.143418,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,2571.53,1000.0,1544,0.1,64.29,0.0643,0.043506,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1776.48,500.0,720,0.1,44.41,0.0444,0.062825,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,55.68,22000.0,192,0.016,9.8,0.0098,0.05104,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
Apex Distribution UK,UK SRS 2026,Scope 3 Category 4 — Upstream Transport,2025-12,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,69.02,6800.0,96,0.016,7.51,0.0075,0.078223,DEFRA GHG Conversion Factors 2025,2026-05-17,Activity-based: weight x distance x emission factor
