reporting_period,supplier_id,supplier_name,country_of_origin,region,transport_mode,shipment_count,total_weight_kg,total_distance_km,total_units_shipped,total_carbon_kg_co2e,total_carbon_tonnes,avg_carbon_per_unit_kg,carbon_saved_vs_air_kg,total_order_value_gbp,scope_category,report_standard,defra_source
2025-04,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,11,3978.83,19800.0,2766,716.19,0.7162,0.243393,3595.27,17766.64,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,2,115.10999999999999,11000.0,148,381.13,0.3811,2.524568,0.0,2327.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,2353.48,11200.0,2136,329.49,0.3295,0.129885,1654.03,11951.76,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,309.23,58500.0,594,96.48,0.0965,0.143414,3533.57,3668.46,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,5,842.8,5500.0,1174,92.71,0.0927,0.070377,465.39,7417.46,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,1873.3000000000002,1500.0,1480,46.83,0.0468,0.03315,235.1,11825.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1570.85,750.0,840,39.27,0.0393,0.052175,197.14,5597.76,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,3,255.0,20400.0,266,27.74,0.0277,0.104195,1016.12,4133.88,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-04,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,67.63,33000.0,144,11.9,0.0119,0.082659,435.94,3048.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,326.31,22000.0,320,1080.41,1.0804,3.230674,0.0,6534.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,12,4252.19,21600.0,2998,765.39,0.7654,0.2406,3842.28,21673.32,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,9,2499.95,9900.0,2248,274.99,0.275,0.111613,1380.47,14296.14,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,1026.48,9800.0,1602,143.71,0.1437,0.08674,721.41,11179.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,152.68,58500.0,528,47.64,0.0476,0.090371,1744.67,4746.24,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1808.18,750.0,828,45.2,0.0452,0.056167,226.93,5521.08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,782.35,1000.0,1064,19.56,0.0196,0.019788,98.18,7799.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-05,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,11.9,0.0119,0.098468,435.94,2989.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,355.47,22000.0,422,1176.96,1.177,2.835067,0.0,6737.88,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,8,2512.27,14400.0,1840,452.21,0.4522,0.236138,2270.09,15211.76,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,2866.04,11200.0,2184,401.25,0.4012,0.153825,2014.25,13777.199999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,327.6,58500.0,600,102.21,0.1022,0.144248,3743.49,3999.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,3,662.14,3300.0,900,72.84,0.0728,0.072087,365.63,5363.64,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2723.7799999999997,1500.0,1556,68.09,0.0681,0.044583,341.83,13951.36,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1241.76,500.0,624,31.04,0.031,0.055412,155.84,4403.04,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,11.9,0.0119,0.098468,435.94,3049.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-06,SUP-002,EuroFast GmbH,Germany,EUROPEAN,RAIL,1,42.0,250.0,100,0.29,0.0003,0.00294,6.03,1605.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,3,287.07,16500.0,350,950.49,0.9505,2.731606,0.0,5356.6,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,14,5099.67,25200.0,3514,917.94,0.9179,0.246844,4608.06,25718.26,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,2104.8999999999996,7700.0,1786,231.54,0.2315,0.118297,1162.33,11599.24,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,6,1519.03,8400.0,1716,212.66,0.2127,0.122476,1067.57,10564.32,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,2672.02,1750.0,2040,66.8,0.0668,0.033479,335.34,16177.880000000001,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,4,2385.58,1000.0,1284,59.64,0.0596,0.049844,299.39,7831.32,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,2,114.9,39000.0,396,35.85,0.0358,0.090792,1312.96,3718.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,2,163.47,13600.0,172,17.79,0.0178,0.09988,651.4,3864.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,87.53,22000.0,168,15.41,0.0154,0.098474,564.22,3687.6,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-07,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,34.16,250.0,156,0.14,0.0001,0.000876,5.0,2196.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,9,3536.39,16200.0,2378,636.55,0.6366,0.24686,3195.48,17562.36,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,1,161.2,5500.0,200,533.73,0.5337,2.668666,0.0,1984.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,2268.9700000000003,9800.0,2232,317.66,0.3177,0.12144,1594.63,11531.28,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,1461.57,7700.0,1984,160.77,0.1608,0.075475,807.08,12202.800000000001,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,382.69,58500.0,732,119.4,0.1194,0.143415,4373.0,4582.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2206.16,1500.0,1728,55.15,0.0552,0.03315,276.87,13468.36,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1827.5,750.0,960,45.69,0.0457,0.052175,229.35,6494.4,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,87.53,22000.0,168,15.41,0.0154,0.098474,564.22,3685.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,111.7,6800.0,100,12.15,0.0122,0.12153,445.1,1866.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-08,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,31.54,250.0,144,0.13,0.0001,0.000876,4.62,2023.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,5,510.47,27500.0,550,1690.17,1.6902,3.118318,0.0,9054.76,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,9,2977.3399999999997,16200.0,2254,535.92,0.5359,0.22882,2690.32,15960.12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,5,1661.6799999999998,5500.0,1278,182.78,0.1828,0.130394,917.58,6851.16,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,4,771.46,5600.0,960,108.0,0.108,0.102236,542.18,6777.6,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,166.45999999999998,58500.0,576,51.94,0.0519,0.090374,1902.14,5125.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,1651.97,1000.0,992,41.3,0.0413,0.043506,207.32,8423.439999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1281.72,500.0,540,32.04,0.032,0.0614,160.86,3619.8,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,1,59.69,11000.0,72,10.51,0.0105,0.145908,384.76,2005.92,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,51.77,6800.0,72,5.63,0.0056,0.078231,206.29,1980.72,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-09,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,31.54,250.0,144,0.13,0.0001,0.000876,4.62,2013.12,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,6,628.37,33000.0,722,2080.53,2.0805,2.95122,0.0,10747.74,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,13,5243.84,23400.0,3320,943.89,0.9439,0.264184,4738.33,23658.84,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,7,2533.79,9800.0,2184,354.73,0.3547,0.13718,1780.75,11343.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,1256.33,6600.0,1642,138.2,0.1382,0.076725,693.75,10858.56,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,1,239.1,19500.0,300,74.6,0.0746,0.248664,2732.2,744.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,7,2320.02,1750.0,1940,58.0,0.058,0.029725,291.16,15672.16,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,1871.38,750.0,984,46.78,0.0468,0.052175,234.86,6706.799999999999,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,67.63,22000.0,144,11.9,0.0119,0.098468,435.94,3050.4,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-005,NordicSupply AS,Sweden,EUROPEAN,SEA,1,128.36,250.0,228,0.51,0.0005,0.002252,18.8,1906.08,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-10,SUP-002,EuroFast GmbH,Germany,EUROPEAN,RAIL,1,42.0,250.0,100,0.29,0.0003,0.00294,6.03,1607.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,4,415.87,22000.0,468,1376.95,1.3769,2.973301,0.0,7677.5599999999995,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,9,3831.9100000000003,16200.0,2884,689.74,0.6897,0.224379,3462.51,19499.52,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,7,2178.95,7700.0,2184,239.68,0.2397,0.106119,1203.22,14374.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,1432.15,11200.0,2286,200.5,0.2005,0.085749,1006.52,15881.4,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,6,2696.51,1500.0,2166,67.41,0.0674,0.03315,338.41,17132.24,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,3,2258.7,750.0,1216,56.47,0.0565,0.051225,283.47,7251.52,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,171.54,58500.0,588,53.52,0.0535,0.091208,1960.19,5838.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-11,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,3,147.22,33000.0,240,25.91,0.0259,0.114285,948.98,5666.88,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-006,MedTrade SRL,Italy,EUROPEAN,ROAD,9,4781.4800000000005,16200.0,3216,860.67,0.8607,0.2513,4320.55,24008.48,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,AIR,1,161.2,5500.0,200,533.73,0.5337,2.668666,0.0,2006.0,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-005,NordicSupply AS,Sweden,EUROPEAN,ROAD,8,3312.25,11200.0,2880,463.72,0.4637,0.130428,2327.85,18497.88,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-002,EuroFast GmbH,Germany,EUROPEAN,ROAD,6,3055.17,6600.0,2262,336.07,0.3361,0.134567,1687.06,14441.38,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-003,AsiaSource Co,China,INTERCONTINENTAL,SEA,3,471.56,58500.0,912,147.13,0.1471,0.143418,5388.52,5853.6,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-001,BritGoods Ltd,United Kingdom,DOMESTIC,ROAD,4,2571.53,1000.0,1544,64.29,0.0643,0.043506,322.73,12947.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-008,LocalPack Ltd,United Kingdom,DOMESTIC,ROAD,2,1776.48,500.0,720,44.41,0.0444,0.062825,222.95,6009.6,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-004,IndiaManufact Pvt,India,INTERCONTINENTAL,SEA,2,55.68,22000.0,192,9.8,0.0098,0.05104,358.91,3475.2,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
2025-12,SUP-007,USBrands Inc,United States,INTERCONTINENTAL,SEA,1,69.02,6800.0,96,7.51,0.0075,0.078223,275.03,2616.96,4,UK SRS 2026,DEFRA GHG Conversion Factors 2025
